# x_m,y_m,w_tr_right_m,w_tr_left_m
4.8435,-0.5708,2.1051,2.1051
4.7935,-0.5708,2.0783,2.0783
4.7435,-0.5208,2.0954,2.0954
4.6935,-0.5208,2.0708,2.0708
4.6435,-0.4708,2.0915,2.0915
4.5935,-0.4708,2.0691,2.0691
4.5435,-0.4708,2.0471,2.0471
4.4935,-0.4208,2.0691,2.0691
4.4435,-0.4208,2.0471,2.0471
4.3935,-0.3708,2.0691,2.0691
4.3435,-0.3708,2.0477,2.0477
4.2935,-0.3208,2.0731,2.0731
4.2435,-0.3208,2.0541,2.0541
4.1935,-0.3208,2.0360,2.0360
4.1435,-0.2708,2.0662,2.0662
4.0935,-0.2708,2.0477,2.0477
4.0435,-0.2708,2.0272,2.0272
3.9935,-0.2208,2.0541,2.0541
3.9435,-0.2208,2.0360,2.0360
3.8935,-0.2208,2.0190,2.0190
3.8435,-0.1708,2.0506,2.0506
3.7935,-0.1708,2.0360,2.0360
3.7435,-0.1708,2.0190,2.0190
3.6935,-0.1708,2.0030,2.0030
3.6435,-0.1208,2.0360,2.0360
3.5935,-0.1208,2.0225,2.0225
3.5435,-0.1208,2.0101,2.0101
3.4935,-0.0708,2.0477,2.0477
3.4435,-0.0708,2.0360,2.0360
3.3935,-0.0708,2.0190,2.0190
3.3435,-0.0708,2.0030,2.0030
3.2935,-0.0208,2.0360,2.0360
3.2435,-0.0208,2.0225,2.0225
3.1935,-0.0208,2.0101,2.0101
3.1435,-0.0208,1.9988,1.9988
3.0935,-0.0208,1.9881,1.9881
3.0435,0.0292,2.0225,2.0225
